NO.	E_type1	Entity1	E_type2	Entity2	KeyWord	Relation
23t3yuoz	Symptoms	Postoperative Pain	Chemical	Buprenorphine	: null	JUXSTAPOSE

knffwa38	Symptoms	virus	Chemical	coronavirus 229E	: null	NONE

knffwa38	Symptoms	virus	Chemical	coronavirus 229E	: null	JUXSTAPOSE

knffwa38	Symptoms	virus	Chemical	coronavirus 229E	: null	JUXSTAPOSE

knffwa38	Symptoms	virus	Chemical	coronavirus 229E	: null	JUXSTAPOSE

knffwa38	Symptoms	virus	Chemical	coronavirus 229E	: null	JUXSTAPOSE

nhidl6hd	Symptoms	virus	Chemical	coronavirus	: null	JUXSTAPOSE

6yinwbfh	Symptoms	pneumonia	Chemical	coronavirus	: occurred	occur in

6yinwbfh	Symptoms	virus	Chemical	coronavirus	: null	JUXSTAPOSE

m5k28kbu	Symptoms	Diarrhea	Chemical	lopinavir-ritonavir	: developed	develop

zsdn11b0	Symptoms	Disease	Chemical	coronavirus	: null	JUXSTAPOSE

zsdn11b0	Symptoms	virus	Chemical	coronavirus	: null	JUXSTAPOSE

svrmuvdl	Symptoms	pneumonia	Chemical	oseltamivir	: null	JUXSTAPOSE

svrmuvdl	Symptoms	pneumonia	Chemical	zanamivir	: null	JUXSTAPOSE

svrmuvdl	Symptoms	pneumonia	Chemical	zanamivir	: null	JUXSTAPOSE

svrmuvdl	Symptoms	pneumonia	Chemical	oseltamivir	: null	JUXSTAPOSE

svrmuvdl	Symptoms	pneumonia	Chemical	oseltamivir	: reduced	reduced

svrmuvdl	Symptoms	pneumonia	Chemical	zanamivir	: reduced	reduced

9j85qgmw	Symptoms	virus	Chemical	coronavirus	: null	JUXSTAPOSE

9j85qgmw	Symptoms	virus	Chemical	coronavirus	: null	JUXSTAPOSE

v6vqtxyo	Symptoms	virus	Chemical	sucrose	: null	JUXSTAPOSE

404zraam	Symptoms	virus	Chemical	coronavirus	: null	JUXSTAPOSE

404zraam	Symptoms	virus	Chemical	coronavirus	: null	JUXSTAPOSE

95av20uc	Symptoms	virus	Chemical	coronavirus	: null	JUXSTAPOSE

95av20uc	Symptoms	anxiety	Chemical	coronavirus	: null	JUXSTAPOSE

xioiph83	Symptoms	virus	Chemical	coronavirus	: null	JUXSTAPOSE

zy8qjaai	Symptoms	virus	Chemical	coronavirus	: null	JUXSTAPOSE

zy8qjaai	Symptoms	virus	Chemical	coronavirus	: null	JUXSTAPOSE

zy8qjaai	Symptoms	virus	Chemical	coronavirus	: induces	INTERACT_WITH_WEAK

h7g5ecc0	Symptoms	Disease	Chemical	oligonucleotides	: null	JUXSTAPOSE

zf2sdb9t	Symptoms	peripheral	Chemical	CCP	: null	JUXSTAPOSE

507tyfu2	Symptoms	virus	Chemical	tetherin	: (e;g;	(e;g;

507tyfu2	Symptoms	virus	Chemical	tetherin	: null	JUXSTAPOSE

nauim1pu	Symptoms	pneumonia	Chemical	HCC	: (gastric	(gastric

nauim1pu	Symptoms	pneumonia	Chemical	smoking	: null	JUXSTAPOSE

nauim1pu	Symptoms	Disease	Chemical	smoking	: null	JUXSTAPOSE

6hhauza0	Symptoms	Virus	Chemical	chloroquine	: susceptible	susceptible

6hhauza0	Symptoms	virus	Chemical	Chloroquine	: null	JUXSTAPOSE

6hhauza0	Symptoms	virus	Chemical	chloroquine	: susceptible	susceptible

6hhauza0	Symptoms	virus	Chemical	chloroquine	: null	JUXSTAPOSE

6hhauza0	Symptoms	virus	Chemical	chloroquine	: null	JUXSTAPOSE

6hhauza0	Symptoms	virus	Chemical	chloroquine	: had	have

6hhauza0	Symptoms	virus	Chemical	chloroquine	: demoted	demote from

6hhauza0	Symptoms	virus	Chemical	chloroquine	: null	JUXSTAPOSE

6hhauza0	Symptoms	virus	Chemical	chloroquine	: null	JUXSTAPOSE

6hhauza0	Symptoms	virus	Chemical	chloroquine	: null	JUXSTAPOSE

6hhauza0	Symptoms	virus	Chemical	chloroquine	: null	JUXSTAPOSE

6hhauza0	Symptoms	virus	Chemical	chloroquine	: null	JUXSTAPOSE

6hhauza0	Symptoms	virus	Chemical	chloroquine	: null	JUXSTAPOSE

6hhauza0	Symptoms	virus	Chemical	chloroquine	: null	JUXSTAPOSE

6hhauza0	Symptoms	virus	Chemical	hydroxychloroquine	: null	JUXSTAPOSE

6hhauza0	Symptoms	virus	Chemical	chloroquine	: sustained	sustained

6hhauza0	Symptoms	virus	Chemical	chloroquine	: null	JUXSTAPOSE

6hhauza0	Symptoms	virus	Chemical	chloroquine	: null	JUXSTAPOSE

6hhauza0	Symptoms	virus	Chemical	hydroxychloroquine	: null	JUXSTAPOSE

6hhauza0	Symptoms	virus	Chemical	chloroquine	: sustained	sustained

6hhauza0	Symptoms	retinopathy	Chemical	hydroxychloroquine	: null	JUXSTAPOSE

6hhauza0	Symptoms	retinopathy	Chemical	chloroquine	: null	JUXSTAPOSE

ud6uyxli	Symptoms	shock	Chemical	Hydrocortisone	: null	JUXSTAPOSE

ud6uyxli	Symptoms	shock	Chemical	corticosteroid	: null	JUXSTAPOSE

ud6uyxli	Symptoms	shock	Chemical	hydrocortisone	: led	lead to

bsbgjt1y	Symptoms	virus	Chemical	coronavirus	: null	JUXSTAPOSE

k3m72uxw	Symptoms	Disease	Chemical	furin	: null	JUXSTAPOSE

0gier0lu	Symptoms	virus	Chemical	angiotensin	: resistant	resistant

0gier0lu	Symptoms	virus	Chemical	losartan	: resistant	resistant

0gier0lu	Symptoms	virus	Chemical	angiotensin	: null	JUXSTAPOSE

0gier0lu	Symptoms	virus	Chemical	losartan	: null	JUXSTAPOSE

f11n037j	Symptoms	Disease	Chemical	DFTD	: null	JUXSTAPOSE

f11n037j	Symptoms	Disease	Chemical	DFTD	: faded	NONE

rv794pij	Symptoms	virus	Chemical	chemokine	: null	JUXSTAPOSE

ywq663uo	Symptoms	Virus	Chemical	IFN	: required	require

0pdmpyoz	Symptoms	virus	Chemical	IFN	: culminates	NONE

0pdmpyoz	Symptoms	virus	Chemical	MDA5	: null	JUXSTAPOSE

c4wy70hf	Symptoms	Disease	Chemical	tetracycline	: active	active

gr9l1uja	Symptoms	virus	Chemical	coronavirus	: found	find with

gr9l1uja	Symptoms	virus	Chemical	coronavirus	: null	JUXSTAPOSE

gr9l1uja	Symptoms	virus	Chemical	coronavirus	: null	JUXSTAPOSE

gr9l1uja	Symptoms	virus	Chemical	coronavirus	: null	JUXSTAPOSE

gr9l1uja	Symptoms	virus	Chemical	coronavirus	: null	JUXSTAPOSE

gr9l1uja	Symptoms	virus	Chemical	coronavirus	: null	JUXSTAPOSE

gr9l1uja	Symptoms	virus	Chemical	nucleotide	: evolves	evolve at

b7wp0gqn	Symptoms	virus	Chemical	IFN	: null	JUXSTAPOSE

w0mt034a	Symptoms	virus	Chemical	coronavirus	: null	JUXSTAPOSE

93fwwwo0	Symptoms	virus	Chemical	OP	: null	JUXSTAPOSE

3ixuddet	Symptoms	virus	Chemical	E1a	: null	UP-REGULATE

d6zn8m3w	Symptoms	virus	Chemical	MCMV	: null	PRODUCE

d6zn8m3w	Symptoms	virus	Chemical	IFN	: null	PRODUCE

d6zn8m3w	Symptoms	virus	Chemical	MCMV IE1(168-176) peptide	: stimulated	PRODUCE

f0x7nsz5	Symptoms	virus	Chemical	IFN	: null	JUXSTAPOSE

f0x7nsz5	Symptoms	virus	Chemical	IFN	: null	JUXSTAPOSE

ivgwn32n	Symptoms	virus	Chemical	Cyclosporin A	: null	JUXSTAPOSE

ivgwn32n	Symptoms	virus	Chemical	sodium taurocholate	: targeting	PLAIN_CULTURE_WEAK

hc40jcfb	Symptoms	Injury	Chemical	IFN	: null	JUXSTAPOSE

hc40jcfb	Symptoms	injury	Chemical	IFN	: null	JUXSTAPOSE

hc40jcfb	Symptoms	injury	Chemical	IFN	: null	JUXSTAPOSE

hc40jcfb	Symptoms	injury	Chemical	IFN	: null	JUXSTAPOSE

hc40jcfb	Symptoms	injury	Chemical	IFN	: null	JUXSTAPOSE

nbeuevwc	Symptoms	Virus	Chemical	E2	: null	JUXSTAPOSE

nbeuevwc	Symptoms	Virus	Chemical	Vaccine	: null	JUXSTAPOSE

nbeuevwc	Symptoms	virus	Chemical	E2	: enhanced	NONE

nbeuevwc	Symptoms	virus	Chemical	EP-II	: enhanced	NONE

t0oz35cm	Symptoms	Virus	Chemical	Flunarizine	: null	JUXSTAPOSE

