NO.	E_type1	Entity1	E_type2	Entity2	KeyWord	Relation
knffwa38	Chemical	coronavirus 229E	Disease	influenza type A"	: null	JUXSTAPOSE
iyzr2cem	Chemical	Vitamin D	Disease	Viral Upper Respiratory Tract Infections	: null	JUXSTAPOSE
iyzr2cem	Chemical	hydroxyvitamin	Disease	viral upper respiratory tract infections	: null	JUXSTAPOSE
iyzr2cem	Chemical	vitamin D	Disease	upper respiratory tract infections	: reduces	DOWN-REGULATE_WEAK
iyzr2cem	Chemical	hydroxyvitamin	Disease	influenza infections	: null	JUXSTAPOSE
iyzr2cem	Chemical	hydroxyvitamin	Disease	upper respiratory tract infection	: null	JUXSTAPOSE
iyzr2cem	Chemical	vitamin D	Disease	upper respiratory tract infections	: reduce	reduce among
iyzr2cem	Chemical	vitamin D	Disease	upper respiratory tract infections	: null	JUXSTAPOSE
6yinwbfh	Chemical	coronavirus	Disease	pneumonia	: occurred	NONE
m5k28kbu	Chemical	oxygen	Disease	upper respiratory tract infection	: summarized	summarized
m5k28kbu	Chemical	lopinavir-ritonavir	Disease	upper respiratory tract infection	: summarized	summarized
m5k28kbu	Chemical	oxygen	Disease	respiratory failure	: reduced	reduce within
m5k28kbu	Chemical	lopinavir-ritonavir	Disease	diarrhea	: developed	NONE
bzlc0mag	Chemical	vitamin E	Disease	upper respiratory infections	: acquired	acquire for
bzlc0mag	Chemical	vitamin E	Disease	upper respiratory infections	: null	JUXSTAPOSE
5l6c0it4	Chemical	lactate	Disease	neutrophilia	: null	JUXSTAPOSE
5l6c0it4	Chemical	lactate	Disease	coagulation dysfunction	: null	JUXSTAPOSE
m0ddwpg8	Chemical	zinc	Disease	MD	: associated	associate with
m0ddwpg8	Chemical	zinc	Disease	MD	: associated	associate with
zsdn11b0	Chemical	coronavirus	Disease	Severe acute respiratory syndrome	: null	JUXSTAPOSE
zsdn11b0	Chemical	coronavirus	Disease	acute respiratory disease	: null	JUXSTAPOSE
1hq6ksda	Chemical	smoking ban	Disease	SHS	: does	do to
iomuxdke	Chemical	epinephrine	Disease	tachycardia	: cause	cause
iomuxdke	Chemical	epinephrine	Disease	arrhythmias	: cause	cause
iomuxdke	Chemical	epinephrine	Disease	hypertension	: cause	cause
iomuxdke	Chemical	adrenaline	Disease	tachycardia	: cause	cause
iomuxdke	Chemical	adrenaline	Disease	arrhythmias	: cause	cause
iomuxdke	Chemical	adrenaline	Disease	hypertension	: cause	cause
iasplkxl	Chemical	PP	Disease	severe hypoxaemia	: null	JUXSTAPOSE
iasplkxl	Chemical	PP	Disease	hypoxaemic respiratory failure	: null	NONE
svrmuvdl	Chemical	oseltamivir	Disease	pneumonia	: reported	PLAIN_REPORT_WEAK
svrmuvdl	Chemical	zanamivir	Disease	pneumonia	: null	JUXSTAPOSE
svrmuvdl	Chemical	zanamivir	Disease	pneumonia	: reduced	reduce in
svrmuvdl	Chemical	oseltamivir	Disease	pneumonia	: null	JUXSTAPOSE
svrmuvdl	Chemical	oseltamivir	Disease	bronchitis	: null	JUXSTAPOSE
svrmuvdl	Chemical	oseltamivir	Disease	pneumonia	: settle	NONE
svrmuvdl	Chemical	zanamivir	Disease	pneumonia	: settle	NONE
ej3xqpc0	Chemical	PPE	Disease	MD	: given	give
9j85qgmw	Chemical	coronavirus	Disease	Middle East respiratory syndrome coronavirus	: null	JUXSTAPOSE
95av20uc	Chemical	coronavirus	Disease	anxiety over coronavirus	: null	JUXSTAPOSE
xioiph83	Chemical	STR	Disease	Opioid Crisis	: null	JUXSTAPOSE
zy8qjaai	Chemical	coronavirus	Disease	acute respiratory syndrome coronavirus	: null	NONE
zy8qjaai	Chemical	coronavirus	Disease	emerging Middle East respiratory syndrome coronavirus	: null	NONE
zy8qjaai	Chemical	coronavirus	Disease	respiratory failure	: induces	NONE
h7g5ecc0	Chemical	oligonucleotides	Disease	CNS viral disease	: shown	show in
507tyfu2	Chemical	tetherin	Disease	respiratory syncytial virus	: exploited	NONE
6xin39lb	Chemical	decitabine	Disease	AML	: examined	NONE
6xin39lb	Chemical	decitabine	Disease	myelodysplastic syndromes	: examined	NONE
6xin39lb	Chemical	decitabine	Disease	MDS	: examined	NONE
6xin39lb	Chemical	decitabine	Disease	AML	: null	NONE
6xin39lb	Chemical	decitabine	Disease	myelodysplastic syndromes	: null	NONE
6xin39lb	Chemical	decitabine	Disease	MDS	: null	NONE
6xin39lb	Chemical	decitabine	Disease	AML	: null	JUXSTAPOSE
6xin39lb	Chemical	decitabine	Disease	MDS	: null	JUXSTAPOSE
nauim1pu	Chemical	HCC	Disease	postoperative pneumonia	: null	JUXSTAPOSE
nauim1pu	Chemical	HCC	Disease	cancer	: null	JUXSTAPOSE
nauim1pu	Chemical	HCC	Disease	cancers	: null	JUXSTAPOSE
nauim1pu	Chemical	HCC	Disease	gastric	: null	JUXSTAPOSE
nauim1pu	Chemical	HCC	Disease	breast cancer	: null	JUXSTAPOSE
nauim1pu	Chemical	HCC	Disease	hepatocellular carcinoma	: null	JUXSTAPOSE
nauim1pu	Chemical	HCC	Disease	gastric cancer	: null	JUXSTAPOSE
nauim1pu	Chemical	HCC	Disease	colorectal cancer	: null	JUXSTAPOSE
nauim1pu	Chemical	HCC	Disease	lung cancer	: null	JUXSTAPOSE
nauim1pu	Chemical	HCC	Disease	breast cancer	: null	JUXSTAPOSE
nauim1pu	Chemical	HCC	Disease	cancer	: null	JUXSTAPOSE
nauim1pu	Chemical	HCC	Disease	gastric 1.	: null	JUXSTAPOSE
nauim1pu	Chemical	smoking	Disease	ulcer disease	: null	JUXSTAPOSE
nauim1pu	Chemical	smoking	Disease	pneumonia	: null	JUXSTAPOSE
6hhauza0	Chemical	chloroquine	Disease	influenza A	: null	JUXSTAPOSE
6hhauza0	Chemical	chloroquine	Disease	influenza A	: null	JUXSTAPOSE
6hhauza0	Chemical	chloroquine	Disease	influenza A	: had	have
6hhauza0	Chemical	chloroquine	Disease	influenza A	: null	JUXSTAPOSE
6hhauza0	Chemical	chloroquine	Disease	Ebola virus epidemic	: combat	combat
6hhauza0	Chemical	hydroxychloroquine	Disease	chloroquine retinopathy	: null	JUXSTAPOSE
6hhauza0	Chemical	chloroquine	Disease	chloroquine retinopathy	: null	JUXSTAPOSE
ud6uyxli	Chemical	Hydrocortisone	Disease	vasopressor-恟efractory septic shock	: null	JUXSTAPOSE
ud6uyxli	Chemical	Hydrocortisone	Disease	illness-恟elated corticosteroid insufficiency	: null	JUXSTAPOSE
ud6uyxli	Chemical	corticosteroid	Disease	vasopressor-恟efractory septic shock	: null	JUXSTAPOSE
ud6uyxli	Chemical	corticosteroid	Disease	illness-恟elated corticosteroid insufficiency	: null	JUXSTAPOSE
ud6uyxli	Chemical	hydrocortisone	Disease	illness-恟elated corticosteroid insufficiency	: null	JUXSTAPOSE
ud6uyxli	Chemical	hydrocortisone	Disease	intravenous hydrocortisone	: null	JUXSTAPOSE
ud6uyxli	Chemical	megestrol acetate	Disease	adrenocortical dysfunction	: played	play in
bsbgjt1y	Chemical	coronavirus	Disease	acute respiratory syndrome coronavirus	: null	JUXSTAPOSE
xtjtvldh	Chemical	AA	Disease	prostate cancer	: increased	NONE
xtjtvldh	Chemical	AA	Disease	prostate cancer	: increased	increase with
xtjtvldh	Chemical	SNP	Disease	prostate cancer	: associated	NONE
xtjtvldh	Chemical	SNP	Disease	prostate cancer	: associated	NONE
k3m72uxw	Chemical	furin	Disease	infectious diseases	: promote	NONE
k3m72uxw	Chemical	furin	Disease	cancer	: promote	NONE
f11n037j	Chemical	DFTD	Disease	facial tumor disease	: null	JUXSTAPOSE
f11n037j	Chemical	DFTD	Disease	facial tumor disease	: faded	fade in
rv794pij	Chemical	chemokine	Disease	respiratory syncytial virus	: null	JUXSTAPOSE
4845cr31	Chemical	MPC	Disease	tumor	: null	JUXSTAPOSE
4845cr31	Chemical	MPC	Disease	tumor	: null	JUXSTAPOSE
ywq663uo	Chemical	IFN	Disease	Lymphocytic Choriomeningitis Virus	: null	JUXSTAPOSE
0pdmpyoz	Chemical	MDA5	Disease	melanoma	: null	JUXSTAPOSE
gr9l1uja	Chemical	coronavirus	Disease	Severe Acute Respiratory Syndrome	: null	JUXSTAPOSE
gr9l1uja	Chemical	coronavirus	Disease	Middle Eastern Respiratory Syndrome	: null	JUXSTAPOSE
gr9l1uja	Chemical	coronavirus	Disease	Severe Acute Respiratory Syndrome	: null	JUXSTAPOSE
gr9l1uja	Chemical	coronavirus	Disease	Middle Eastern Respiratory Syndrome	: null	JUXSTAPOSE
93fwwwo0	Chemical	OP	Disease	hepatitis virus	: examined	ASSESS_EFFECT_OF_WEAK
93fwwwo0	Chemical	OP	Disease	spinal cord demyelination	: examined	NONE
93fwwwo0	Chemical	OP	Disease	sclerosis (MS) lesions	: examined	NONE
93fwwwo0	Chemical	OP	Disease	demyelination	: increased	increase during
93fwwwo0	Chemical	OP	Disease	remyelination advanced	: increased	increase during
32svuf6r	Chemical	OP	Disease	demyelination	: null	JUXSTAPOSE
32svuf6r	Chemical	OP	Disease	remyelinating oligodendrocytes	: indicating	indicate in
3ixuddet	Chemical	cis	Disease	HIV-1 infection	: null	JUXSTAPOSE
hr875s19	Chemical	OPCs	Disease	demyelination	: null	JUXSTAPOSE
hr875s19	Chemical	OPCs	Disease	demyelination	: null	JUXSTAPOSE
hr875s19	Chemical	AMD3100	Disease	demyelination	: recovering	recover from
hr875s19	Chemical	OPCs	Disease	demyelination	: null	JUXSTAPOSE
f0x7nsz5	Chemical	IFN	Disease	chronic hepatitis C virus	: continues	NONE
f0x7nsz5	Chemical	IFN	Disease	chronic hepatitis C virus	: null	NONE
ivgwn32n	Chemical	Cyclosporin A	Disease	hepatitis B	: inhibit	DOWN-REGULATE_WEAK
ivgwn32n	Chemical	sodium taurocholate	Disease	hepatitis B	: null	JUXSTAPOSE
hc40jcfb	Chemical	IFN	Disease	liver injury	: displayed	display
hc40jcfb	Chemical	IFN	Disease	tumor	: displayed	display
nbeuevwc	Chemical	EP-II	Disease	ID	: contrasting	NONE
nbeuevwc	Chemical	EP-II	Disease	ID	: removed	DOWN-REGULATE
t0oz35cm	Chemical	Flunarizine	Disease	Hepatitis C Virus	: Prevents	prevent by
t0oz35cm	Chemical	diphenylmethylpiperazine	Disease	migraine	: treat	METHOD_OF
qpq7yqhh	Chemical	Rotavirus VP4	Disease	Rhesus Rotavirus VP4 protein governs cholangiocyte infection	: null	JUXSTAPOSE
ap8wwokj	Chemical	Pentraxin-3	Disease	chronic liver disease	: known	NONE
ap8wwokj	Chemical	PTX3	Disease	chronic liver disease	: known	NONE
ap8wwokj	Chemical	PTX3	Disease	liver injury	: null	JUXSTAPOSE
ap8wwokj	Chemical	lipopolysaccharide	Disease	liver injury	: null	JUXSTAPOSE
