NO.	E_type1	Entity1	E_type2	Entity2	KeyWord	Relation
m5k28kbu	Disease	upper respiratory tract infection	Drugs	lopinavir	: summarized	summarized
m5k28kbu	Disease	diarrhea	Drugs	lopinavir	: developed	develop
m5k28kbu	Disease	diarrhea	Drugs	ritonavir	: developed	develop
bzlc0mag	Disease	upper respiratory infections	Drugs	vitamin E	: completed	complete for
bzlc0mag	Disease	upper respiratory infections	Drugs	vitamin E	: null	JUXSTAPOSE
m0ddwpg8	Disease	MD	Drugs	zinc	: null	JUXSTAPOSE
m0ddwpg8	Disease	MD	Drugs	zinc	: null	JUXSTAPOSE
iomuxdke	Disease	tachycardia	Drugs	epinephrine	: null	JUXSTAPOSE
iomuxdke	Disease	tachycardia	Drugs	adrenaline	: null	JUXSTAPOSE
iomuxdke	Disease	arrhythmias	Drugs	epinephrine	: null	JUXSTAPOSE
iomuxdke	Disease	arrhythmias	Drugs	adrenaline	: null	JUXSTAPOSE
iomuxdke	Disease	hypertension	Drugs	epinephrine	: null	JUXSTAPOSE
iomuxdke	Disease	hypertension	Drugs	adrenaline	: null	JUXSTAPOSE
g8h6cpzr	Disease	acute respiratory failure	Drugs	PCV	: fulfilling	NONE
g8h6cpzr	Disease	chronic respiratory failure	Drugs	PCV	: fulfilling	NONE
svrmuvdl	Disease	pneumonia	Drugs	Oseltamivir	: null	JUXSTAPOSE
svrmuvdl	Disease	pneumonia	Drugs	oseltamivir	: null	JUXSTAPOSE
svrmuvdl	Disease	pneumonia	Drugs	zanamivir	: null	JUXSTAPOSE
svrmuvdl	Disease	pneumonia	Drugs	zanamivir	: null	JUXSTAPOSE
svrmuvdl	Disease	pneumonia	Drugs	oseltamivir	: null	JUXSTAPOSE
svrmuvdl	Disease	bronchitis	Drugs	Zanamivir	: null	JUXSTAPOSE
svrmuvdl	Disease	bronchitis	Drugs	oseltamivir	: null	JUXSTAPOSE
svrmuvdl	Disease	diarrhoea	Drugs	Oseltamivir	: null	JUXSTAPOSE
svrmuvdl	Disease	pneumonia	Drugs	oseltamivir	: reduced	reduced
svrmuvdl	Disease	pneumonia	Drugs	zanamivir	: reduced	reduced
xstc0n8t	Disease	CLS	Drugs	CLS	: null	JUXSTAPOSE
xstc0n8t	Disease	CLS	Drugs	CLS	: null	JUXSTAPOSE
xstc0n8t	Disease	CLS	Drugs	CLS	: null	JUXSTAPOSE
xstc0n8t	Disease	CLS	Drugs	CLS	: null	JUXSTAPOSE
xstc0n8t	Disease	CLS	Drugs	CLS	: null	JUXSTAPOSE
xstc0n8t	Disease	CLS	Drugs	CLS	: null	JUXSTAPOSE
xstc0n8t	Disease	CLS	Drugs	CLS	: null	JUXSTAPOSE
xstc0n8t	Disease	CLS	Drugs	CLS	: null	JUXSTAPOSE
xstc0n8t	Disease	CLS	Drugs	CLS	: null	JUXSTAPOSE
vqi3db9w	Disease	hepatitis B	Drugs	factor VIII	: null	JUXSTAPOSE
vqi3db9w	Disease	hepatitis C	Drugs	factor VIII	: null	JUXSTAPOSE
vqi3db9w	Disease	HIV	Drugs	factor VIII	: null	JUXSTAPOSE
vqi3db9w	Disease	hemophilia	Drugs	factor VIII	: null	JUXSTAPOSE
6xin39lb	Disease	acute myeloid leukemia	Drugs	decitabine	: treated	treat with
6xin39lb	Disease	myelodysplastic syndromes	Drugs	decitabine	: treated	treat with
6xin39lb	Disease	acute myeloid leukemia	Drugs	Decitabine	: null	JUXSTAPOSE
6xin39lb	Disease	AML	Drugs	Decitabine	: null	JUXSTAPOSE
6xin39lb	Disease	AML	Drugs	decitabine	: null	JUXSTAPOSE
6xin39lb	Disease	AML	Drugs	decitabine	: using	use at
6xin39lb	Disease	myelodysplastic syndromes	Drugs	decitabine	: null	JUXSTAPOSE
6xin39lb	Disease	myelodysplastic syndromes	Drugs	decitabine	: using	use at
6xin39lb	Disease	MDS	Drugs	decitabine	: null	JUXSTAPOSE
6xin39lb	Disease	MDS	Drugs	decitabine	: using	use at
6xin39lb	Disease	AML	Drugs	decitabine	: null	JUXSTAPOSE
6xin39lb	Disease	MDS	Drugs	decitabine	: null	JUXSTAPOSE
6hhauza0	Disease	influenza A	Drugs	chloroquine	: null	JUXSTAPOSE
6hhauza0	Disease	influenza A	Drugs	chloroquine	: null	JUXSTAPOSE
6hhauza0	Disease	influenza A	Drugs	chloroquine	: had	have
6hhauza0	Disease	Ebola virus epidemic	Drugs	chloroquine	: null	JUXSTAPOSE
6hhauza0	Disease	chloroquine retinopathy	Drugs	hydroxychloroquine	: null	JUXSTAPOSE
6hhauza0	Disease	chloroquine retinopathy	Drugs	chloroquine	: null	JUXSTAPOSE
ud6uyxli	Disease	vasopressor鈥恟efractory septic shock	Drugs	Hydrocortisone	: null	JUXSTAPOSE
ud6uyxli	Disease	illness鈥恟elated corticosteroid insufficiency	Drugs	Hydrocortisone	: null	JUXSTAPOSE
ud6uyxli	Disease	illness鈥恟elated corticosteroid insufficiency	Drugs	hydrocortisone	: treated	treat with
ud6uyxli	Disease	intravenous hydrocortisone	Drugs	hydrocortisone	: null	JUXSTAPOSE
ud6uyxli	Disease	adrenocortical dysfunction	Drugs	megestrol acetate	: null	JUXSTAPOSE
hr875s19	Disease	demyelination	Drugs	AMD3100	: null	JUXSTAPOSE
ivgwn32n	Disease	hepatitis B	Drugs	Cyclosporin A	: null	JUXSTAPOSE
ivgwn32n	Disease	hepatitis B	Drugs	taurocholate	: targeting	PLAIN_CULTURE_WEAK
8rvyupes	Disease	tumor	Drugs	Ras	: null	JUXSTAPOSE
8rvyupes	Disease	tumor	Drugs	Ras	: null	JUXSTAPOSE
8rvyupes	Disease	liver cancer	Drugs	Ras	: null	JUXSTAPOSE
t0oz35cm	Disease	Hepatitis C Virus	Drugs	Flunarizine	: null	JUXSTAPOSE
