NO.	E_type1	Entity1	E_type2	Entity2	KeyWord	Relation
23128501	Herbs	lichen	SPEC	HIV-1	: have	PLAIN_REPORT_WEAK
23128501	Herbs	lichen	DISO	HIV	: have	PLAIN_REPORT_WEAK
23128501	Herbs	lichen	SPEC	higher plants	: reported	PLAIN_REPORT_WEAK
23128501	Herbs	lichen	SPEC	fungi	: null	JUXSTAPOSE
23128501	Herbs	lichen	SPEC	bacteria	: null	JUXSTAPOSE
23128501	Herbs	lichen	CHED	secondary metabolites	: null	JUXSTAPOSE
23128501	Herbs	lichen	CHED	Anthraquinones	: null	JUXSTAPOSE
29920152	Herbs	ge-gu	PROC	localization	: null	JUXSTAPOSE
29920152	Herbs	ge-gu	DISO	fistula	: null	JUXSTAPOSE
21533772	Herbs	mo-di	SPEC	homo	: null	NONE
21533772	Herbs	mo-di	CHED	pro	: inactive	inactive
15683852	Herbs	licorice	SPEC	licorice	: null	JUXSTAPOSE
15683852	Herbs	licorice	CHED	glycyrrhizin	: null	JUXSTAPOSE
17886224	Herbs	licorice	DISO	HIV	: infected	infect with
17886224	Herbs	licorice	SPEC	HIV	: infected	infect with
17886224	Herbs	licorice	CHED	adjuvant	: null	JUXSTAPOSE
17886224	Herbs	licorice	DISO	pneumonia	: null	JUXSTAPOSE
17886224	Herbs	licorice	SPEC	influenza A virus	: null	JUXSTAPOSE
17886224	Herbs	licorice	PATH	influenza A	: null	JUXSTAPOSE
17886224	Herbs	licorice	DISO	influenza	: null	JUXSTAPOSE
17886224	Herbs	licorice	SPEC	licorice	: null	JUXSTAPOSE
17886224	Herbs	licorice	PROC	viral latency	: null	JUXSTAPOSE
24520776	Herbs	licorice	CHED	triterpenoids	: null	JUXSTAPOSE
24520776	Herbs	licorice	SPEC	virus	: null	JUXSTAPOSE
24520776	Herbs	licorice	CHED	Triterpenoid	: null	JUXSTAPOSE
24520776	Herbs	licorice	CHED	medicine	: null	JUXSTAPOSE
24520776	Herbs	licorice	SPEC	spot	: confirmed	RESULT_OF_WEAK
24520776	Herbs	licorice	DISO	hot spot	: confirmed	RESULT_OF_WEAK
24520776	Herbs	licorice	SPEC	licorice	: confirmed	confirmed
24520776	Herbs	licorice	CHED	triterpenoids	: null	JUXSTAPOSE
24520776	Herbs	licorice	CHED	antiviral	: null	JUXSTAPOSE
24520776	Herbs	licorice	SPEC	licorice	: confirmed	confirmed
24520776	Herbs	licorice	CHED	medicine	: used	use in
24520776	Herbs	licorice	CHED	antiviral	: null	JUXSTAPOSE
24520776	Herbs	licorice	SPEC	licorice	: has	have
24520776	Herbs	licorice	CHED	triterpenoids	: null	JUXSTAPOSE
24520776	Herbs	licorice	PROC	immunity	: null	JUXSTAPOSE
24520776	Herbs	licorice	CHED	glycyrrhetinic acid	: null	JUXSTAPOSE
24520776	Herbs	licorice	CHED	glycyrrhizin	: null	JUXSTAPOSE
24520776	Herbs	licorice	CHED	glycyrrhizic acid	: null	JUXSTAPOSE
24520776	Herbs	licorice	SPEC	licorice	: null	JUXSTAPOSE
24520776	Herbs	licorice	CHED	triterpenoids	: null	JUXSTAPOSE
24520776	Herbs	licorice	SPEC	virus	: null	JUXSTAPOSE
24520776	Herbs	licorice	SPEC	influenza virus	: null	JUXSTAPOSE
24520776	Herbs	licorice	DISO	influenza	: null	JUXSTAPOSE
24520776	Herbs	licorice	SPEC	coronavirus	: null	JUXSTAPOSE
24520776	Herbs	licorice	DISO	SARS	: null	JUXSTAPOSE
24520776	Herbs	licorice	SPEC	virus	: null	JUXSTAPOSE
24520776	Herbs	licorice	DISO	hepatitis	: null	JUXSTAPOSE
24520776	Herbs	licorice	DISO	HIV	: null	JUXSTAPOSE
24520776	Herbs	licorice	SPEC	HIV	: null	JUXSTAPOSE
24520776	Herbs	licorice	SPEC	herpes virus	: null	JUXSTAPOSE
24520776	Herbs	licorice	DISO	herpes	: null	JUXSTAPOSE
24520776	Herbs	licorice	SPEC	licorice	: null	JUXSTAPOSE
24520776	Herbs	licorice	CHED	triterpenoids	: null	JUXSTAPOSE
24520776	Herbs	licorice	CHED	antiviral	: null	JUXSTAPOSE
28175983	Herbs	licorice	COMP	cells	: inhibit	inhibit in
28175983	Herbs	licorice	ANAT	Vero cells	: inhibit	inhibit in
28175983	Herbs	licorice	DISO	infection	: inhibit	inhibit in
28175983	Herbs	licorice	SPEC	PEDV	: inhibit	inhibit in
28175983	Herbs	licorice	ANAT	root	: inhibit	inhibit in
28175983	Herbs	licorice	SPEC	licorice	: null	JUXSTAPOSE
28175983	Herbs	licorice	CHED	glycyrrhizin	: null	JUXSTAPOSE
29971802	Herbs	mushroom	PROC	immune responses	: null	CONTAIN
29971802	Herbs	mushroom	PROC	growth	: null	CONTAIN
29971802	Herbs	mushroom	ANAT	stem	: null	CONTAIN
29971802	Herbs	mushroom	SPEC	Flammulina velutipes	: null	CONTAIN
29971802	Herbs	mushroom	SPEC	mushroom	: null	CONTAIN
29971802	Herbs	mushroom	SPEC	mushrooms	: contain	CONTAIN
29971802	Herbs	mushroom	PROC	immunity	: null	JUXSTAPOSE
29971802	Herbs	mushroom	COMP	serum	: null	JUXSTAPOSE
29971802	Herbs	mushroom	ANAT	serum	: null	JUXSTAPOSE
29971802	Herbs	mushroom	PROC	immune response	: null	JUXSTAPOSE
29971802	Herbs	mushroom	SPEC	mushroom	: null	JUXSTAPOSE
29971802	Herbs	mushroom	SPEC	Flammulina velutipes	: null	JUXSTAPOSE
32162896	Herbs	mushroom	DISO	HIV	: affected	NONE
32162896	Herbs	mushroom	SPEC	HIV	: affected	NONE
32162896	Herbs	mushroom	SPEC	hepatitis B virus	: null	NONE
32162896	Herbs	mushroom	DISO	hepatitis B	: null	NONE
32162896	Herbs	mushroom	SPEC	herpes virus	: affected	NONE
32162896	Herbs	mushroom	DISO	herpes	: affected	NONE
32162896	Herbs	mushroom	SPEC	papillomavirus	: affected	NONE
32162896	Herbs	mushroom	SPEC	hepatitis C virus	: affected	NONE
32162896	Herbs	mushroom	PATH	hepatitis C	: affected	NONE
32162896	Herbs	mushroom	DISO	hepatitis C	: affected	NONE
32162896	Herbs	mushroom	SPEC	avian influenza virus	: affected	NONE
32162896	Herbs	mushroom	DISO	avian influenza	: affected	NONE
32162896	Herbs	mushroom	SPEC	influenza virus	: affected	NONE
32162896	Herbs	mushroom	DISO	influenza	: affected	NONE
32162896	Herbs	mushroom	DISO	West Nile virus	: affected	NONE
32162896	Herbs	mushroom	PROC	West Nile virus	: affected	NONE
32162896	Herbs	mushroom	SPEC	West Nile virus	: affected	NONE
32162896	Herbs	mushroom	SPEC	humans	: affected	NONE
32162896	Herbs	mushroom	SPEC	animals	: affected	NONE
32162896	Herbs	mushroom	CHED	immunostimulant	: investigated	NONE
32162896	Herbs	mushroom	SPEC	mushroom	: affected	NONE
32162896	Herbs	mushroom	CHED	glucan	: null	JUXSTAPOSE
23871041	Herbs	sorghum	PROC	transcriptase	: null	JUXSTAPOSE
23871041	Herbs	sorghum	FUNC	transcriptase	: null	JUXSTAPOSE
23871041	Herbs	sorghum	PRGE	reverse transcriptase	: null	JUXSTAPOSE
23871041	Herbs	sorghum	ENZY	reverse transcriptase	: null	JUXSTAPOSE
23871041	Herbs	sorghum	SPEC	HIV-1	: null	JUXSTAPOSE
23871041	Herbs	sorghum	DISO	HIV	: null	JUXSTAPOSE
23871041	Herbs	sorghum	CHED	antifungal	: null	JUXSTAPOSE
23871041	Herbs	sorghum	CHED	protein	: null	JUXSTAPOSE
23871041	Herbs	sorghum	CHED	inhibitor	: null	JUXSTAPOSE
23871041	Herbs	sorghum	PROC	xylanase inhibitor	: null	JUXSTAPOSE
23871041	Herbs	sorghum	FUNC	xylanase	: null	JUXSTAPOSE
23871041	Herbs	sorghum	ENZY	xylanase	: null	JUXSTAPOSE
23871041	Herbs	sorghum	PRGE	sorghum xylanase inhibitor-like protein	: null	JUXSTAPOSE
23871041	Herbs	sorghum	SPEC	sorghum	: null	JUXSTAPOSE
23871041	Herbs	sorghum	CHED	protein	: null	JUXSTAPOSE
23871041	Herbs	sorghum	PRGE	xylanase inbibitor-like protein	: null	JUXSTAPOSE
23871041	Herbs	sorghum	PROC	xylanase	: null	JUXSTAPOSE
23871041	Herbs	sorghum	FUNC	xylanase	: null	JUXSTAPOSE
